feature_set,weighting,weighting_strategy,held_out_system,n_train,n_test,model,pearson_r,mse
ligand_fp_plus_complex,unweighted,unweighted,Q16539,103,7,XGBoost_small,-0.1981200547283659,3.858251843565234
ligand_fp_plus_complex,unweighted,unweighted,Q16539,103,7,RandomForest,0.12905368473182216,3.3292606107794542
ligand_fp_plus_complex,unweighted,unweighted,Q16539,103,7,ExtraTrees,-0.44801431630363825,10.176684559553214
ligand_fp_complex_plus_physchem,unweighted,unweighted,Q16539,103,7,XGBoost_small,-0.34855458243037746,3.623658043332368
ligand_fp_complex_plus_physchem,unweighted,unweighted,Q16539,103,7,RandomForest,0.2141867745549071,3.0474480210988935
ligand_fp_complex_plus_physchem,unweighted,unweighted,Q16539,103,7,ExtraTrees,-0.4804679057129715,10.700696374642169
whole_ligand_energy_core,unweighted,unweighted,Q16539,103,7,XGBoost_small,0.8884740781021981,1.021831365664613
whole_ligand_energy_core,unweighted,unweighted,Q16539,103,7,RandomForest,0.8984024222999836,0.8632039583552764
whole_ligand_energy_core,unweighted,unweighted,Q16539,103,7,ExtraTrees,0.8277264032129804,1.3686541296711934
fragment_informed_final,unweighted,unweighted,Q16539,103,7,XGBoost_small,0.9131247903386339,0.7345293357488215
fragment_informed_final,unweighted,unweighted,Q16539,103,7,RandomForest,0.9031273461927654,0.8882937062078312
fragment_informed_final,unweighted,unweighted,Q16539,103,7,ExtraTrees,0.8921561579645648,0.9076568236243471
ligand_fingerprint_baseline,unweighted,unweighted,P49336,104,6,XGBoost_small,-0.4198955674082037,2.36683093241345
ligand_fingerprint_baseline,unweighted,unweighted,P49336,104,6,RandomForest,-0.2776269453140125,2.247634648670623
ligand_fingerprint_baseline,unweighted,unweighted,P49336,104,6,ExtraTrees,0.1933341383117229,4.162795416704505
ligand_fp_plus_complex,unweighted,unweighted,P49336,104,6,XGBoost_small,-0.06934461046149634,1.9698858533698
ligand_fp_plus_complex,unweighted,unweighted,P49336,104,6,RandomForest,0.22236111714910317,2.192481948686356
ligand_fp_plus_complex,unweighted,unweighted,P49336,104,6,ExtraTrees,0.1265974185558734,4.025408787859328
ligand_fp_complex_plus_physchem,unweighted,unweighted,P49336,104,6,XGBoost_small,0.21231445004786156,2.036104586181802
ligand_fp_complex_plus_physchem,unweighted,unweighted,P49336,104,6,RandomForest,0.4754278637730582,2.6684644885941498
ligand_fp_complex_plus_physchem,unweighted,unweighted,P49336,104,6,ExtraTrees,-0.30883900687496835,4.361879263020373
whole_ligand_energy_core,unweighted,unweighted,P49336,104,6,XGBoost_small,0.6494088232460976,0.7427524249026881
whole_ligand_energy_core,unweighted,unweighted,P49336,104,6,RandomForest,0.8090069564583566,0.7889132757755641
whole_ligand_energy_core,unweighted,unweighted,P49336,104,6,ExtraTrees,0.8342760204464003,0.7502906073711902
fragment_informed_final,unweighted,unweighted,P49336,104,6,XGBoost_small,0.85460245007412,0.42510606492759123
fragment_informed_final,unweighted,unweighted,P49336,104,6,RandomForest,0.9278490375260402,0.6781073862871613
fragment_informed_final,unweighted,unweighted,P49336,104,6,ExtraTrees,0.8037210858018786,0.6356168579901454
ligand_fingerprint_baseline,unweighted,unweighted,Q2G036,106,4,XGBoost_small,-0.22163879841455789,7.180001673656806
ligand_fingerprint_baseline,unweighted,unweighted,Q2G036,106,4,RandomForest,0.5242765485008768,6.644558636456763
ligand_fingerprint_baseline,unweighted,unweighted,Q2G036,106,4,ExtraTrees,0.3893963025015548,7.046158666335175
ligand_fp_plus_complex,unweighted,unweighted,Q2G036,106,4,XGBoost_small,0.02554142194662156,8.353173989531992
ligand_fp_plus_complex,unweighted,unweighted,Q2G036,106,4,RandomForest,0.6340000210649519,6.892288088206263
ligand_fp_plus_complex,unweighted,unweighted,Q2G036,106,4,ExtraTrees,0.38017659149188876,7.281720719673536
ligand_fp_complex_plus_physchem,unweighted,unweighted,Q2G036,106,4,XGBoost_small,0.02202913197419585,7.726499163144101
ligand_fp_complex_plus_physchem,unweighted,unweighted,Q2G036,106,4,RandomForest,0.6560506292080411,6.863703324312757
ligand_fp_complex_plus_physchem,unweighted,unweighted,Q2G036,106,4,ExtraTrees,0.3620183686375608,6.786336379055695
whole_ligand_energy_core,unweighted,unweighted,Q2G036,106,4,XGBoost_small,0.9908101005612296,1.2637479926895003
whole_ligand_energy_core,unweighted,unweighted,Q2G036,106,4,RandomForest,0.9320045604950101,1.0288077060783138
whole_ligand_energy_core,unweighted,unweighted,Q2G036,106,4,ExtraTrees,0.8991507404734068,3.0115690528727597
fragment_informed_final,unweighted,unweighted,Q2G036,106,4,XGBoost_small,0.9195719799942463,0.6363047804793939
fragment_informed_final,unweighted,unweighted,Q2G036,106,4,RandomForest,0.9352961504994814,0.6302664434002402
fragment_informed_final,unweighted,unweighted,Q2G036,106,4,ExtraTrees,0.943049952932375,1.0457832262084845
