bin_label,n_samples,mse,pearson_r
"[-2, 0)",2,2.4721812012872952,1.0
"[0, 2)",43,0.22149494786400328,0.7612287665492553
"[2, 4)",57,0.26015052221314916,0.5948786550118964
"[4, 6)",8,1.0545654119310586,0.6919139889767151
