model,mse,pearson_r
Top3MeanEnsemble,0.2105769869437499,0.9024333657067901
XGBoost_small,0.22220676948663942,0.8923883604250284
RandomForest,0.23575080771772214,0.8899560320366565
ExtraTrees,0.23408748440190771,0.8914833982368843
Lig-level MD,0.4543487460525798,0.8390182344084705
Frag-level MD,0.49217500005546877,0.8288674227378273
