system_low,system_high,idx_low,ligand_low,y_low,idx_high,ligand_high,y_high,delta_y_true,changed_slot,changed_rank_in_low_sample,fixed_slots,low_fragment_smiles,high_fragment_smiles,low_share_changed,high_share_changed,delta_share_changed,low_f1_share,low_f2_share,low_f3_share,low_whole_share,high_whole_share,low_other_share,high_other_share
P29274,P29274,809,3uzc_ligand_12_dock,1.93930216,804,3uzc_ligand_native_7,2.995678626,1.0563764660000001,f2,middle,f1/f3,Cc1cccc(C)n1,Oc1ccccc1Cl,0.022044217213988304,0.05570877715945244,0.03366456180810928,0.04537077620625496,0.022044217213988304,0.016655970364809036,0.36228522658348083,0.5080071687698364,0.5536438226699829,0.3698895275592804
P29274,P29274,810,3uzc_ligand_14_dock,0.774690718,804,3uzc_ligand_native_7,2.995678626,2.220987908,f2,middle,f1/f3,Clc1ccccc1,Oc1ccccc1Cl,0.040506914258003235,0.05570877715945244,0.015201862901449203,0.06176790967583656,0.040506914258003235,0.022610340267419815,0.4438072443008423,0.5080071687698364,0.4313076138496399,0.3698895275592804
P49336,P49336,234,4f7n_ligand_10_234_dock.mol2,2.617982957,233,4f7n_ligand_native_233.mol2,3.537602002,0.9196190449999997,f1,middle,f2/f3,NC(=O)NCCCCO,NC(=O)NCCCCCO,0.03542351722717285,0.027457382529973984,-0.007966134697198868,0.03542351722717285,0.04360894858837128,0.018446628004312515,0.3839026689529419,0.4783690869808197,0.5186182260513306,0.42698079347610474
P07900,P07900,512,5j27_ligand_16_512_dock.mol2,1.853871964,519,5j27_ligand_23_519_dock.mol2,2.017728767,0.16385680299999983,f1,middle,f2/f3,O=c1[nH]ncn1-c1ccccc1F,O=c1[nH]ncn1-c1ccccc1Cl,0.05285857245326042,0.05523955821990967,0.002380985766649246,0.05285857245326042,0.06075745075941086,0.028877966105937958,0.12304264307022095,0.1227448508143425,0.7344633340835571,0.7028513550758362
P07900,P07900,512,5j27_ligand_16_512_dock.mol2,1.853871964,511,5j27_ligand_native_511.mol2,2.193820026,0.33994806199999994,f2,highest,f1/f3,CNC(C)C,CCCNC,0.06075745075941086,0.07478218525648117,0.014024734497070312,0.05285857245326042,0.06075745075941086,0.028877966105937958,0.12304264307022095,0.1510365903377533,0.7344633340835571,0.6400184631347656
P07900,P07900,511,5j27_ligand_native_511.mol2,2.193820026,533,5j9x_ligand_34_533_dock.mol2,2.37675071,0.182930684,f3,lowest,f1/f2,O=[SH](=O)c1ccc(O)cc1O,O=Cc1ccc(O)cc1O,0.06157125160098076,0.06322968751192093,0.0016584359109401703,0.07259149104356766,0.07478218525648117,0.06157125160098076,0.1510365903377533,0.30366694927215576,0.6400184631347656,0.5666535496711731
P07900,P07900,531,5j64_ligand_32_531_dock.mol2,0.920818754,532,5j64_ligand_33_532_dock.mol2,1.148741651,0.2279228969999999,f3,lowest,f1/f2,Clc1ccccc1,CCc1ccccc1,0.02390097640454769,0.014383100904524326,-0.009517875500023365,0.0458737388253212,0.029014762490987778,0.02390097640454769,0.5897335410118103,0.47412699460983276,0.3114769756793976,0.4370954632759094
P07900,P07900,523,5j86_ligand_27_523_dock.mol2,2.920818754,521,5j86_ligand_25_521_dock.mol2,2.958607315,0.037788561000000165,f1,highest,f2/f3,CNCc1cccc(C)c1,CNCc1ccccc1,0.030226580798625946,0.0336916521191597,0.0034650713205337524,0.030226580798625946,0.018689926713705063,0.022950341925024986,0.29898524284362793,0.15071558952331543,0.6291478276252747,0.7140774726867676
P07900,P07900,524,5j86_ligand_28_524_dock.mol2,2.337242168,521,5j86_ligand_25_521_dock.mol2,2.958607315,0.6213651470000001,f1,highest,f2/f3,CNCc1ccco1,CNCc1ccccc1,0.05202441290020943,0.0336916521191597,-0.01833276078104973,0.05202441290020943,0.03201896324753761,0.03911441192030907,0.34750375151634216,0.15071558952331543,0.5293384790420532,0.7140774726867676
P07900,P07900,524,5j86_ligand_28_524_dock.mol2,2.337242168,523,5j86_ligand_27_523_dock.mol2,2.920818754,0.583576586,f1,highest,f2/f3,CNCc1ccco1,CNCc1cccc(C)c1,0.05202441290020943,0.030226580798625946,-0.02179783210158348,0.05202441290020943,0.03201896324753761,0.03911441192030907,0.34750375151634216,0.29898524284362793,0.5293384790420532,0.6291478276252747
P07900,P07900,524,5j86_ligand_28_524_dock.mol2,2.337242168,529,5j86_ligand_30_529_dock.mol2,3.468521083,1.1312789150000002,f2,lowest,f1/f3,Cc1ccccc1-n1cn[nH]c1=O,Cc1ccccc1-n1cccn1,0.03201896324753761,0.04622350260615349,0.014204539358615875,0.05202441290020943,0.03201896324753761,0.03911441192030907,0.34750375151634216,0.2671853005886078,0.5293384790420532,0.5747774839401245
P07900,P07900,522,5j9x_ligand_26_522_dock.mol2,2.0,529,5j86_ligand_30_529_dock.mol2,3.468521083,1.4685210830000002,f1,highest,f2/f3,CCCCCCNC,CNCc1ccco1,0.05801242217421532,0.04010026156902313,-0.017912160605192184,0.05801242217421532,0.05334153398871422,0.029511859640479088,0.42496252059936523,0.2671853005886078,0.4341716170310974,0.5747774839401245
P07900,P07900,528,5j9x_ligand_29_528_dock.mol2,2.522878745,509,5j9x_ligand_native_509.mol2,2.769551079,0.24667233400000033,f1,highest,f2/f3,O=c1[nH]ncn1-c1ccccc1,O=c1[nH]ncn1-c1ccccc1F,0.11396120488643646,0.0575808510184288,-0.05638035386800766,0.11396120488643646,0.08129847049713135,0.047962043434381485,0.21903125941753387,0.40646907687187195,0.5377470254898071,0.47221529483795166
P07900,P07900,533,5j9x_ligand_34_533_dock.mol2,2.37675071,509,5j9x_ligand_native_509.mol2,2.769551079,0.39280036900000015,f2,middle,f1/f3,CCCNC,CCCCNC,0.03983226418495178,0.04666699096560478,0.006834726780653,0.026617486029863358,0.03983226418495178,0.06322968751192093,0.30366694927215576,0.40646907687187195,0.5666535496711731,0.47221529483795166
P07900,P07900,536,5lnz_ligand_native_536.mol2,2.696803943,542,5oci_ligand_native_542.mol2,3.168130226,0.47132628300000023,f3,lowest,f1/f2,CCCCN(C)C=O,Cc1cccc(C)c1,0.02235301584005356,0.03901209309697151,0.016659077256917953,0.04846439138054848,0.02470168098807335,0.02235301584005356,0.4333382844924927,0.4064124524593353,0.4711426794528961,0.45274078845977783
P07900,P07900,552,5oci_ligand_53_552_dock.mol2,1.49757288,541,5oci_ligand_42_541_dock.mol2,2.298432015,0.8008591349999998,f3,lowest,f1/f2,CN(C=O)c1ccc(F)cc1,Cc1ccc(N(C)C=O)cc1,0.013272624462842941,0.029901910573244095,0.016629286110401154,0.08911197632551193,0.02455824799835682,0.013272624462842941,0.32402732968330383,0.45142462849617004,0.5490297675132751,0.3988824486732483
P07900,P07900,553,5oci_ligand_54_553_dock.mol2,1.793174124,541,5oci_ligand_42_541_dock.mol2,2.298432015,0.5052578909999998,f3,middle,f1/f2,COc1cccc(N(C)C=O)c1,Cc1ccc(N(C)C=O)cc1,0.031940851360559464,0.029901910573244095,-0.0020389407873153687,0.08103848993778229,0.029759112745523453,0.031940851360559464,0.43284767866134644,0.45142462849617004,0.4244139492511749,0.3988824486732483
P07900,P07900,554,5oci_ligand_55_554_dock.mol2,2.113509275,544,5oci_ligand_45_544_dock.mol2,3.129596095,1.01608682,f1,highest,f2/f3,CNc1cccc(C)c1,CNc1ccc(N2CCCCC2)cc1,0.04759380966424942,0.07063363492488861,0.02303982526063919,0.04759380966424942,0.015912728384137154,0.036776792258024216,0.25295525789260864,0.5130372643470764,0.646761417388916,0.35560113191604614
P07900,P07900,544,5oci_ligand_45_544_dock.mol2,3.129596095,542,5oci_ligand_native_542.mol2,3.168130226,0.03853413100000003,f1,highest,f2/f3,CNc1ccc(N2CCCCC2)cc1,CNc1ccc(N2CCOCC2)cc1,0.07063363492488861,0.05583497881889343,-0.014798656105995178,0.07063363492488861,0.03393029421567917,0.02679757960140705,0.5130372643470764,0.4064124524593353,0.35560113191604614,0.45274078845977783
P07900,P07900,552,5oci_ligand_53_552_dock.mol2,1.49757288,553,5oci_ligand_54_553_dock.mol2,1.793174124,0.295601244,f3,lowest,f1/f2,CN(C=O)c1ccc(F)cc1,COc1cccc(N(C)C=O)c1,0.013272624462842941,0.031940851360559464,0.018668226897716522,0.08911197632551193,0.02455824799835682,0.013272624462842941,0.32402732968330383,0.43284767866134644,0.5490297675132751,0.4244139492511749
P07900,P07900,554,5oci_ligand_55_554_dock.mol2,2.113509275,542,5oci_ligand_native_542.mol2,3.168130226,1.054620951,f1,highest,f2/f3,CNc1cccc(C)c1,CNc1ccc(N2CCOCC2)cc1,0.04759380966424942,0.05583497881889343,0.008241169154644012,0.04759380966424942,0.015912728384137154,0.036776792258024216,0.25295525789260864,0.4064124524593353,0.646761417388916,0.45274078845977783
P07900,P07900,558,6ei5_ligand_59_558_dock.mol2,0.241845378,560,6ei5_ligand_61_560_dock.mol2,0.554395797,0.31255041899999997,f3,lowest,f1/f2,Nc1ncc2cc(O)ccc2n1,Cc1ccc2nc(N)ncc2c1,0.014605973847210407,0.01263679750263691,-0.0019691763445734978,0.03939249366521835,0.034458428621292114,0.014605973847210407,0.5003175735473633,0.43701326847076416,0.4112255871295929,0.4479975998401642
