index,rank,n_pairs,mean_delta_y_true,median_delta_y_true,std_delta_y_true
1,lowest,7,0.48892422528571433,0.3125504189999999,0.3512994587199251
2,middle,11,0.5307937699090908,0.5052578909999998,0.3913022775600955
0,highest,16,0.5505823655625,0.5137925345000001,0.43143784395042495
