top_fraction,subset_label,n_samples,model,feature_set,cutoff_min_pkoff,cutoff_max_pkoff,pooled_pearson_r,pooled_mse,pooled_rmse,fold_mean_pearson_r,fold_std_pearson_r,fold_mean_mse,fold_std_mse,fold_mean_rmse,fold_std_rmse
1.0,Top 100%,110,RandomForest,fragment_informed_final,-1.44870632,5.619788758,0.9023404263216053,0.32589311735621634,0.5708704908788125,0.8898146498963093,0.04441525317668709,0.32589311735621634,0.10299527169520616,0.5652573276558341,0.0892837533345327
0.75,Top 75%,83,RandomForest,fragment_informed_final,1.218244625,5.619788758,0.8512438253856585,0.25782729813241173,0.507766972274105,0.8587948418050514,0.07295410499918789,0.25681290269193574,0.04060171697658465,0.5054432778822973,0.04092669568164752
0.5,Top 50%,55,RandomForest,fragment_informed_final,2.314258261,5.619788758,0.7417003007042444,0.2634207176408891,0.5132452801934851,0.7584399693961963,0.15657253692390338,0.2634207176408891,0.11869479409492371,0.503021705617472,0.11396206231998082
0.25,Top 25%,28,RandomForest,fragment_informed_final,3.123782159,5.619788758,0.7315403096259785,0.24203828794730634,0.4919738691712257,0.6876202206363893,0.2127923117955718,0.23434172778314794,0.13995918593290768,0.467649954051698,0.13984477224137035
